TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
USC,P12,2,2,121.4,79.4,0.9925,61,34.2,17.4,11.3,29.8,29.9,28.1,17.7,56.4,30.5,47.2,27.1,67.3,0,6
Oregon,P12,1,1,132.3,88.8,0.9899,64,51.5,14.7,16,27.6,33.3,16.2,20.6,62.8,53.5,44,32,73.2,0,7
Oregon St.,P12,2,2,117.4,80.8,0.9865,52.3,35.5,24.1,13.8,32.8,25.5,42.1,39.1,48.5,35.6,39,23.6,71.2,0,12
Gonzaga,WCC,2,2,129.8,90.8,0.9838,61.9,45,14.7,16.8,35.7,16.9,37.3,23.3,58,43.4,44.9,32.4,72.2,0,1
Loyola Chicago,MVC,2,2,121.8,85.7,0.9828,56.3,54.7,17.5,23.1,34.5,13,35.6,18.8,53.7,58.3,40.5,29.2,62.1,0,8
Syracuse,ACC,2,2,130.6,92.2,0.982,68.2,44.5,20.9,14.7,18.4,38.6,24.2,13.1,58.5,39.4,50,33.3,65.5,0,11
Florida St.,ACC,2,2,109,78.8,0.9767,55.3,39.2,22.9,22.1,21.6,33.3,43.6,20.7,63.2,40.6,23.1,25,66.6,0,4
Baylor,B12,2,2,118,84.3,0.9796,50.4,46.3,9.9,26.9,28.4,21.2,25.4,20.2,46.3,47,38,30.2,73,0,1
Villanova,BE,2,2,133,99.5,0.966,60.6,45,9.7,15.4,22.4,29.4,32.4,28.2,58.5,43.5,41.8,31.3,62.1,0,5
UCLA,P12,3,3,124.4,93.8,0.9627,53.6,45.9,10.3,16,31.4,26.5,26.8,26.6,48.8,50.4,42.9,24.1,61.9,0,11
Alabama,SEC,2,2,127.4,96.3,0.9616,59.2,52.5,17.9,17.1,44.4,15.6,27.7,10.1,55.7,58,42.9,30,69,0,2
Houston,Amer,2,2,119.2,94.7,0.934,48.8,48.4,16.5,21.3,45.7,25,39.2,37.2,49.3,41.3,31.9,41.9,64.9,0,2
Michigan,B10,2,2,117.3,93.9,0.9285,59.9,40.2,18,9,28.3,25,48.1,33.8,63.6,43,37.3,21.2,69.5,0,1
Arkansas,SEC,2,2,108.3,87.4,0.922,46.9,47.1,13,21.3,25.3,30.8,36.2,29.4,48.9,31.9,27.3,46.8,72.5,0,3
Creighton,BE,2,2,103.7,84.1,0.9173,51.7,39.8,14.1,17.1,20.3,31.3,16.9,26.8,51.4,43.1,34.8,23.5,68.2,0,5
Oral Roberts,Sum,2,2,110,90.8,0.9002,48.4,53.6,12,24.1,19.5,36.9,32.3,21.6,48.4,61.3,32.3,26.7,71.3,0,15
